AL,nest,nest_mate,date,year,DOY,sunrise,time,time_after_sunrise,process_time,time_on_ice,CORT_time,CORT_cat,CORT_value,CORT_sec,sex,age,age.2,incubator
1838,NA,NA,29-Mar-17,2017,88,6.28,8.55,2.27,12.05,3.5,30,min30,112.3605152,1738,M,adult,adult,NA
1846,NA,NA,31-Mar-17,2017,90,6.27,9.333333333,3.06,12.35,3.016666667,0,base,4.297365577,81,F,adult,adult,NA
1846,NA,NA,28-Mar-17,2017,87,6.29,10.51666667,4.23,12.35,1.833333333,0,base,9.6795,120,F,adult,adult,NA
1846,NA,NA,28-Mar-17,2017,87,6.29,10.51666667,4.23,12.35,1.833333333,15,min15,92.93895511,904,F,adult,adult,NA
1846,NA,NA,31-Mar-17,2017,90,6.27,9.333333333,3.06,12.35,3.016666667,15,min15,NA,NA,F,adult,adult,NA
1846,NA,NA,28-Mar-17,2017,87,6.29,10.51666667,4.23,12.35,1.833333333,30,min30,132.3518,1826,F,adult,adult,NA
1846,NA,NA,31-Mar-17,2017,90,6.27,9.333333333,3.06,12.35,3.016666667,30,min30,97.39201956,NA,F,adult,adult,NA
1864,NA,NA,12-Apr-17,2017,102,6.21,8,1.79,10,2,0,base,1.859078375,108,M,adult,adult,NA
1864,NA,NA,12-Apr-17,2017,102,6.21,8,1.79,10,2,15,min15,85.06890943,1000,M,adult,adult,NA
1864,NA,NA,12-Apr-17,2017,102,6.21,8,1.79,10,2,30,min30,45.25223751,1920,M,adult,adult,NA
1877,NA,NA,3-Apr-17,2017,93,6.26,9.533333333,3.27,12.13333333,2.6,0,base,4.424916804,177,M,adult,adult,NA
1877,NA,NA,3-Apr-17,2017,93,6.26,9.533333333,3.27,12.13333333,2.6,15,min15,80.91168892,911,M,adult,adult,NA
1877,NA,NA,3-Apr-17,2017,93,6.26,9.533333333,3.27,12.13333333,2.6,30,min30,74.71331848,1830,M,adult,adult,NA
1880,NA,NA,10-Apr-17,2017,100,6.22,8.45,2.23,11.91666667,3.466666667,0,base,4.569070354,70,F,adult,adult,NA
1880,NA,NA,29-Mar-17,2017,88,6.28,10,3.72,12.91666667,2.916666667,0,base,7.9717,155,F,adult,adult,NA
1880,NA,NA,29-Mar-17,2017,88,6.28,10,3.72,12.91666667,2.916666667,15,min15,23.17197265,1035,F,adult,adult,NA
1880,NA,NA,10-Apr-17,2017,100,6.22,8.45,2.23,11.91666667,3.466666667,15,min15,NA,NA,F,adult,adult,NA
1880,NA,NA,29-Mar-17,2017,88,6.28,10,3.72,12.91666667,2.916666667,30,min30,96.4717208,1773,F,adult,adult,NA
1880,NA,NA,10-Apr-17,2017,100,6.22,8.45,2.23,11.91666667,3.466666667,30,min30,NA,NA,F,adult,adult,NA
1895,NA,NA,30-Mar-17,2017,89,6.28,10.11666667,3.84,12.08333333,1.966666667,0,base,1.344613138,100,F,adult,adult,NA
1895,NA,NA,30-Mar-17,2017,89,6.28,10.11666667,3.84,12.08333333,1.966666667,15,min15,NA,NA,F,adult,adult,NA
1895,NA,NA,30-Mar-17,2017,89,6.28,10.11666667,3.84,12.08333333,1.966666667,30,min30,NA,NA,F,adult,adult,NA
1911,NA,NA,29-Mar-17,2017,88,6.28,10.63333333,4.35,13.06666667,2.433333333,0,base,6.732258189,85,F,adult,adult,NA
1911,NA,NA,29-Mar-17,2017,88,6.28,10.63333333,4.35,13.06666667,2.433333333,15,min15,8.7065086,909,F,adult,adult,NA
1911,NA,NA,29-Mar-17,2017,88,6.28,10.63333333,4.35,13.06666667,2.433333333,30,min30,70.99727179,1844,F,adult,adult,NA
1931,NA,NA,5-Apr-17,2017,95,6.25,9.2,2.95,12.35,3.15,0,base,10.29749527,177,F,adult,adult,NA
1931,NA,NA,5-Apr-17,2017,95,6.25,9.2,2.95,12.35,3.15,15,min15,NA,NA,F,adult,adult,NA
1931,NA,NA,5-Apr-17,2017,95,6.25,9.2,2.95,12.35,3.15,30,min30,NA,NA,F,adult,adult,NA
1935,NA,NA,12-Apr-17,2017,102,6.21,7.583333333,1.37,11.56666667,3.983333333,0,base,2.846683883,150,M,adult,adult,NA
1935,NA,NA,12-Apr-17,2017,102,6.21,7.583333333,1.37,11.56666667,3.983333333,15,min15,44.76306917,875,M,adult,adult,NA
1935,NA,NA,12-Apr-17,2017,102,6.21,7.583333333,1.37,11.56666667,3.983333333,30,min30,6.90956157,NA,M,adult,adult,NA
1957,NA,NA,25-Mar-17,2017,84,6.31,8,1.69,11.93333333,3.933333333,0,base,3.333786403,95,F,adult,adult,NA
1957,NA,NA,25-Mar-17,2017,84,6.31,8,1.69,11.93333333,3.933333333,15,min15,52.58670352,908,F,adult,adult,NA
1957,NA,NA,25-Mar-17,2017,84,6.31,8,1.69,11.93333333,3.933333333,30,min30,74.97030115,1830,F,adult,adult,NA
1964,NA,NA,10-Apr-17,2017,100,6.22,10.5,4.28,12.86666667,2.366666667,0,base,11.66401163,170,F,adult,adult,NA
1964,NA,NA,10-Apr-17,2017,100,6.22,10.5,4.28,12.86666667,2.366666667,15,min15,NA,NA,F,adult,adult,NA
